year,number of graduate students
1975,302981
1976,305398
1977,311689
1978,304252
1979,319043
1980,325600
1981,331989
1982,338866
1983,346966
1984,349642
1985,357991
1986,367982
1987,373239
1988,375163
1989,382642
1990,397041
1991,412592
1992,430517
1993,435723
1994,431142
1995,422466
1996,415181
1997,407630
1998,404856
1999,411182
2000,413536
2001,429229
2002,454834
2003,474645
2004,475873
2005,478275
2006,486287
2007,516199
2008,529275
2009,545685
2010,556532
2011,560941
2012,561418
2013,570300
2014,601883
2015,618008
2016,620489
2017,581149
2018,595556
