year,number of doctoral degrees
1966,11570
1967,13109
1968,14645
1969,16288
1970,18052
1971,19381
1972,19342
1973,19373
1974,18714
1975,18799
1976,18472
1977,18008
1978,17653
1979,17872
1980,17775
1981,18257
1982,18274
1983,18634
1984,18745
1985,18934
1986,19435
1987,19892
1988,20930
1989,21731
1990,22868
1991,24019
1992,24674
1993,25442
1994,26203
1995,26535
1996,27240
1997,27228
1998,27274
1999,25930
2000,25966
2001,25530
2002,24610
2003,25283
2004,26275
2005,27985
2006,29873
2007,31836
2008,32837
2009,33463
2010,33120
2011,34474
2012,35809
2013,36928
2014,38939
2015,39178
2016,39053
