year,White (sometimes also non-Hispanic),Asian (somestimes also Pacific Islander),Black (sometimes also non-Hispanic),Hispanic,American Indian (sometimes also Alaskan Native),Native Hawaiian (when reported),Multiple races (when reported)
1991,28100,3800,1600,1100,100,NaN,NaN
1993,34500,4100,2200,2000,NaN,NaN,NaN
1995,24100,3900,1200,1400,100,NaN,NaN
1997,23700,4200,1300,1400,100,NaN,NaN
2001,25860,4570,1480,1280,140,NaN,NaN
2003,37400,9000,2500,2200,600,NaN,NaN
2006,28100,6800,2000,1600,300,NaN,NaN
2008,25700,7200,1500,1800,NaN,NaN,500
2010,24600,8300,1700,2000,133.333333333333,125,600
2013,24300,8500,1600,2200,33.3333333333333,125,600
2015,25100,7900,1550,2100,100,45.8333333333333,650
2017,26300,9500,1500,2350,66.6666666666667,58.3333333333333,650
